"Daily Weather Observations for Alice Springs, Northern Territory for July 2018"
"Prepared at 13:03 UTC on Friday 12 July 2019   IDCJDW8002.201807"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations taken at Alice Springs Airport."
"The airport is about 11 kilometres from Alice Springs township. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Alice Springs Airport {station 015590}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-07-1,-0.4,18.1,0,,,ESE,37,12:06,8.1,55,,ESE,9,1028.9,17.7,30,,ESE,17,1025.9
,2018-07-2,-2.6,21.2,0,,,ESE,26,12:07,7.6,54,,ESE,9,1027.5,20.4,18,,ESE,13,1022.7
,2018-07-3,-1.4,25.1,0,3.2,,ESE,22,17:05,8.1,40,, ,Calm,1025.2,24.8,13,,ESE,9,1020.5
,2018-07-4,1.3,27.2,0,4.0,,WSW,17,12:50,10.6,31,,SSW,7,1022.7,26.2,10,,W,11,1018.5
,2018-07-5,4.7,28.1,0,6.6,,N,31,10:47,13.0,26,,W,6,1020.0,27.6,15,,NW,15,1015.2
,2018-07-6,8.1,19.1,0,,,ESE,48,15:10,14.1,52,,S,15,1023.3,18.1,29,,SSE,22,1020.9
,2018-07-7,0.3,17.4,0,,,SSE,41,12:29,7.6,45,, ,Calm,1027.3,16.7,26,,SE,20,1024.5
,2018-07-8,2.0,17.7,0,,,ESE,46,09:37,9.5,57,,ESE,17,1028.6,17.2,28,,ESE,24,1024.7
,2018-07-9,-1.1,17.8,0,,,E,46,09:59,8.3,56,,E,22,1028.1,17.1,25,,ESE,20,1024.9
,2018-07-10,-2.0,18.3,0,2.6,,ESE,46,10:51,7.7,59,,ESE,9,1026.0,17.4,27,,E,19,1022.1
,2018-07-11,-1.9,18.3,0,5.6,,ESE,31,12:08,6.8,55,,S,4,1025.4,17.8,23,,E,15,1021.3
,2018-07-12,-3.4,18.0,0,4.0,,E,31,10:44,4.5,44,, ,Calm,1024.1,17.3,17,,ESE,15,1020.1
,2018-07-13,-3.8,20.0,0,3.6,,E,30,15:25,5.2,41,,WNW,7,1022.7,18.6,13,,E,13,1018.2
,2018-07-14,-3.5,21.0,0,,,WNW,22,14:07,5.6,28,, ,Calm,1021.0,20.6,9,,N,9,1016.3
,2018-07-15,-2.2,22.6,0,,,NW,50,13:20,10.7,16,,W,6,1017.3,22.0,9,,W,24,1013.1
,2018-07-16,1.3,24.2,0,,,SSW,19,06:06,13.2,20,,W,13,1018.8,22.5,14,,SW,9,1015.5
,2018-07-17,1.7,25.8,0,3.4,,WSW,28,12:50,12.7,23,, ,Calm,1019.7,24.6,10,,SSW,13,1016.6
,2018-07-18,1.7,26.2,0,,,NNW,30,10:23,17.3,15,, ,Calm,1020.1,25.4,8,,NW,7,1016.6
,2018-07-19,3.0,26.5,0,,,WSW,39,13:49,12.2,15,,W,9,1018.9,26.1,14,,SSW,24,1016.7
,2018-07-20,4.7,18.9,0,,,ESE,37,08:48,10.7,67,,ESE,30,1026.0,17.7,35,,E,15,1021.9
,2018-07-21,-0.1,25.5,0,,,W,31,15:20,11.3,46,,NE,6,1023.7,24.6,19,,SW,11,1018.2
,2018-07-22,5.7,27.1,0,,,NNW,35,09:18,18.0,23,,NNW,11,1021.5,25.7,15,,NNW,9,1016.2
,2018-07-23,13.0,29.1,0,,,NW,48,13:41,20.8,19,,NW,26,1017.8,28.7,12,,NW,15,1014.1
,2018-07-24,10.1,26.8,0,7.8,,ENE,28,11:04,16.2,31,8, ,Calm,1018.9,26.3,20,8,ESE,9,1015.1
,2018-07-25,8.1,27.3,0,4.6,,SSW,28,17:20,15.8,41,1,W,6,1019.7,25.8,19,,SE,6,1015.6
,2018-07-26,6.6,30.4,0,5.6,,WNW,54,13:29,20.3,21,,NNE,9,1016.5,29.4,10,,NW,30,1010.3
,2018-07-27,10.5,23.1,0,9.4,,SW,30,00:09,14.7,56,,SW,13,1015.2,22.5,29,,WSW,11,1011.8
,2018-07-28,5.1,22.2,0,,,S,33,15:21,12.8,62,,W,7,1016.8,21.1,32,1,SW,13,1013.6
,2018-07-29,4.2,21.2,0,,,ESE,39,11:06,12.7,45,,WNW,2,1022.6,20.6,25,,SE,17,1020.1
,2018-07-30,1.7,24.5,0,,,ENE,22,09:45,13.0,51,, ,Calm,1023.3,23.9,16,,NE,11,1018.5
,2018-07-31,4.1,27.6,0,,,N,28,09:29,17.5,26,,NNW,19,1020.9,26.4,14,,WSW,9,1016.1
