"Daily Weather Observations for Alice Springs, Northern Territory for August 2018"
"Prepared at 13:03 UTC on Thursday 11 July 2019   IDCJDW8002.201808"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations taken at Alice Springs Airport."
"The airport is about 11 kilometres from Alice Springs township. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Alice Springs Airport {station 015590}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-08-1,9.4,27.4,0,,,E,37,11:35,15.6,26,7,WSW,9,1021.2,27.1,13,,ENE,9,1015.7
,2018-08-2,14.9,29.2,0,11.2,,W,72,21:25,22.3,12,4,NE,17,1013.1,28.6,11,1,N,43,1007.7
,2018-08-3,5.7,17.2,0,12.0,,WSW,46,01:52,9.7,61,,SW,19,1020.8,16.8,25,,SSW,13,1017.1
,2018-08-4,0.7,25.2,0,,,NW,44,15:25,11.6,33,, ,Calm,1018.7,24.7,13,,NW,24,1012.0
,2018-08-5,7.5,,0,,,,,,17.6,17,,NNE,7,1014.0,25.6,13,,WNW,39,1010.0
,2018-08-6,2.7,16.9,0,,,SSW,35,12:04,8.5,40,,WSW,9,1022.1,16.5,21,,S,17,1018.3
,2018-08-7,0.5,19.4,0,,,ESE,28,10:08,10.8,34,,ENE,2,1022.7,17.5,19,,E,9,1019.1
,2018-08-8,1.3,22.0,0,3.6,,ESE,26,13:00,10.7,29,, ,Calm,1022.6,21.2,14,,ENE,9,1018.9
,2018-08-9,1.9,26.2,0,,,NE,31,14:12,13.0,26,, ,Calm,1022.1,26.0,10,,NNW,6,1016.7
,2018-08-10,10.1,27.7,0,,,WNW,50,15:15,17.5,16,,NNW,19,1017.7,26.8,8,,WNW,26,1011.5
,2018-08-11,5.6,16.4,0,,,S,46,13:17,11.4,46,,S,24,1023.0,15.4,28,,S,26,1021.2
,2018-08-12,0.4,17.3,0,,,SE,54,12:31,10.0,48,,SE,22,1028.5,16.5,31,,SSE,24,1026.0
,2018-08-13,-0.1,19.0,0,,,ESE,50,11:31,10.1,50,,ESE,20,1029.8,18.1,23,,SE,20,1025.3
,2018-08-14,-1.2,23.1,0,,,E,39,09:57,11.4,40,,E,9,1026.4,22.3,17,,ESE,13,1020.9
,2018-08-15,2.0,27.3,0,3.6,,WNW,22,11:30,15.7,22,, ,Calm,1021.2,26.5,8,,NNW,11,1016.4
,2018-08-16,3.7,27.9,0,6.6,,SE,26,12:51,16.2,13,,WNW,7,1018.1,27.1,7,,SSW,11,1014.4
,2018-08-17,3.6,28.7,0,6.2,,WNW,30,15:35,15.4,24,,E,11,1018.6,27.8,6,,N,11,1014.1
,2018-08-18,4.4,25.2,0,,,SE,35,15:02,17.4,17,,SSW,17,1022.3,24.5,15,,SE,20,1019.7
,2018-08-19,5.5,19.1,0,,,SE,43,10:15,13.0,38,,ESE,24,1029.2,17.9,25,,SE,24,1026.2
,2018-08-20,-0.9,20.6,0,,,ENE,35,12:45,9.8,40,, ,Calm,1028.7,18.7,14,,ENE,15,1023.0
,2018-08-21,-1.8,23.6,0,4.6,,N,26,13:21,13.1,23,, ,Calm,1022.8,23.2,6,,N,9,1016.1
,2018-08-22,4.2,27.5,0,6.8,,NNW,44,10:59,19.2,10,,NNW,28,1016.3,26.6,8,,SW,7,1011.7
,2018-08-23,10.0,21.3,0,8.0,,S,43,09:56,13.6,38,,SSW,24,1018.3,19.7,21,,WSW,17,1014.6
,2018-08-24,4.3,20.8,0,,,SW,39,15:14,12.6,38,,WSW,15,1019.4,19.7,27,,WSW,19,1015.7
,2018-08-25,3.2,20.9,0,,,SSE,30,13:21,11.7,69,,S,9,1020.7,19.7,29,,S,13,1016.6
,2018-08-26,3.0,24.3,0,,,ENE,41,11:58,13.9,34,,W,6,1022.1,23.0,12,,NE,13,1018.4
,2018-08-27,3.2,25.6,0,,,E,37,13:28,17.0,20,,E,13,1022.4,24.5,11,,NE,9,1018.4
,2018-08-28,3.9,28.5,0,3.0,,,,,15.3,18,,E,7,1019.9,27.8,9,,NE,17,1014.7
,2018-08-29,15.3,30.7,0,8.0,,NNW,56,10:46,22.4,12,,N,22,1015.7,29.6,9,,NNW,31,1010.5
,2018-08-30,20.7,31.0,0,18.0,,WNW,74,16:43,24.5,10,5,NW,30,1009.9,29.7,26,1,NW,52,1005.0
,2018-08-31,10.4,24.1,0,15.0,,W,44,00:56,16.3,31,,SW,22,1018.7,23.2,15,,SW,13,1015.6
