"Daily Weather Observations for Alice Springs, Northern Territory for September 2018"
"Prepared at 13:03 UTC on Wednesday 10 July 2019   IDCJDW8002.201809"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations taken at Alice Springs Airport."
"The airport is about 11 kilometres from Alice Springs township. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Alice Springs Airport {station 015590}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-09-1,5.4,26.3,0,,,NE,37,13:35,16.4,34,,ESE,11,1020.0,25.8,18,,E,13,1014.5
,2018-09-2,7.0,26.1,0,,,ESE,39,10:37,17.9,34,,ESE,17,1020.3,25.3,21,,ENE,13,1016.6
,2018-09-3,8.8,26.0,0,,,ENE,44,09:27,17.7,33,,E,31,1022.8,24.6,22,,ENE,13,1018.4
,2018-09-4,9.9,27.2,0,,,ESE,31,13:22,17.4,32,,ENE,20,1021.6,25.8,15,,ENE,9,1016.7
,2018-09-5,8.5,32.6,0,,,NNW,52,15:45,21.6,20,1,N,19,1014.9,32.6,14,1,WNW,30,1008.4
,2018-09-6,15.3,27.6,0,,,NW,41,00:40,20.8,23,,S,22,1014.0,26.3,17,,ENE,7,1010.6
,2018-09-7,8.2,24.9,0,,,E,39,08:44,16.2,31,,ENE,28,1018.9,23.7,18,,ESE,13,1014.0
,2018-09-8,5.9,27.3,0,,,E,37,12:58,17.9,27,,E,15,1020.5,25.7,15,,E,24,1017.1
,2018-09-9,6.3,26.5,0,,,E,44,12:04,18.2,24,,ENE,15,1024.5,25.7,12,,SE,19,1021.3
,2018-09-10,3.2,27.1,0,,,ENE,39,10:06,16.4,15,, ,Calm,1025.0,26.1,8,,ENE,15,1019.1
,2018-09-11,5.0,32.4,0,3.8,,S,35,23:52,22.1,10,,N,13,1018.0,31.2,8,,SSE,17,1012.3
,2018-09-12,11.7,23.9,0,2.0,,SE,46,11:59,17.9,53,5,ESE,31,1019.8,23.2,29,,ESE,20,1016.6
,2018-09-13,6.0,28.2,0,3.8,,E,39,09:13,17.1,28,,E,28,1020.2,27.6,14,,ENE,17,1015.2
,2018-09-14,11.8,33.3,0,,,NNW,41,10:18,25.9,14,,NNW,24,1017.2,31.8,7,,N,17,1012.3
,2018-09-15,15.9,23.3,0,,,SSW,48,04:41,20.1,29,,SSE,31,1021.1,21.7,28,,SE,22,1018.7
,2018-09-16,6.3,21.0,0,,,E,50,09:46,13.2,32,,ESE,31,1023.8,20.2,18,,ESE,24,1019.0
,2018-09-17,2.5,29.6,0,,,N,30,11:57,15.4,22,,ENE,19,1019.4,28.3,9,,NNE,6,1013.0
,2018-09-18,14.9,34.6,0,4.6,,NW,56,13:44,25.6,9,1,NNW,35,1014.0,32.6,10,7,WNW,22,1010.1
,2018-09-19,12.9,18.5,0,6.6,,ESE,39,10:30,16.0,40,8,SE,28,1020.6,16.6,33,7,SSE,22,1019.1
,2018-09-20,4.3,21.0,0,4.0,,ESE,50,10:35,15.5,27,5,ESE,17,1023.6,19.6,23,7,E,26,1020.0
,2018-09-21,11.7,17.9,0,4.6,,SE,28,11:19,15.8,32,8,ENE,13,1024.8,13.4,73,8,SSW,7,1023.4
,2018-09-22,4.9,26.4,0,,,E,48,15:21,14.5,61,,E,2,1026.5,25.0,21,,E,19,1021.2
,2018-09-23,6.9,29.3,0,,,E,41,14:37,19.6,26,,ESE,11,1024.5,29.2,11,,ENE,15,1019.3
,2018-09-24,8.0,30.0,0,,,ESE,43,14:10,22.6,12,,ENE,28,1022.5,29.4,9,,ESE,26,1018.0
,2018-09-25,8.1,29.7,0,,,E,41,14:47,20.9,21,,E,24,1022.1,28.0,12,,S,17,1016.7
,2018-09-26,7.8,30.0,0,,,SE,31,15:07,22.4,13,,ESE,15,1019.3,29.2,9,,ESE,11,1014.7
,2018-09-27,7.3,32.7,0,,,ESE,30,15:10,24.8,8,,NE,17,1018.6,31.6,5,,SE,19,1013.8
,2018-09-28,9.1,35.2,0,,,NNW,39,12:35,26.8,6,,NE,22,1017.0,33.7,5,,N,15,1012.4
,2018-09-29,14.0,29.1,0,,,,,,19.7,32,,E,28,1021.7,27.5,17,,E,17,1017.1
,2018-09-30,12.5,33.2,0,,,ENE,44,11:11,20.9,28,,ENE,33,1021.1,32.1,12,,ENE,17,1015.5
