"Daily Weather Observations for Alice Springs, Northern Territory for October 2018"
"Prepared at 13:03 UTC on Tuesday  9 July 2019   IDCJDW8002.201810"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations taken at Alice Springs Airport."
"The airport is about 11 kilometres from Alice Springs township. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Alice Springs Airport {station 015590}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-10-1,16.9,36.0,0,8.2,,NNE,50,11:52,27.7,14,,NE,26,1017.5,33.8,11,6,NW,17,1012.3
,2018-10-2,18.5,36.4,0,11.6,,,,,24.3,18,1,SSW,9,1017.0,34.9,12,7,NW,17,1011.7
,2018-10-3,17.7,34.3,0,7.2,,SE,52,14:52,28.0,12,1,E,13,1015.6,31.9,22,,SE,31,1014.0
,2018-10-4,14.8,28.2,0,15.2,,ESE,41,09:02,19.8,55,,ESE,26,1020.7,27.6,23,,SSE,22,1015.7
,2018-10-5,12.5,29.9,0,9.8,,ENE,37,08:50,20.1,31,,ENE,28,1019.7,28.8,15,,ESE,17,1013.8
,2018-10-6,15.3,33.2,0,,,SSE,31,15:00,21.1,29,8,NE,19,1016.8,32.2,13,1,SSE,15,1012.4
,2018-10-7,14.0,37.7,0,,,NNW,35,11:20,28.6,18,,NNE,13,1015.2,36.1,11,8,NNW,11,1010.4
,2018-10-8,21.4,34.8,0,,,,,,30.1,14,,N,26,1013.7,30.6,16,5,S,37,1012.8
,2018-10-9,21.8,,0,14.6,,,,,27.7,29,7,WNW,4,1013.8,33.0,22,,,,1008.8
,2018-10-10,14.4,30.8,0.6,5.8,,ESE,33,10:16,21.1,47,2,ESE,24,1016.8,29.1,26,,E,13,1012.5
,2018-10-11,18.9,29.4,0,11.0,,WSW,50,18:18,22.9,37,,ENE,17,1016.7,28.5,28,8,N,15,1012.4
,2018-10-12,16.4,31.0,11.8,4.6,,SSW,54,22:13,23.0,55,2,NW,26,1014.2,30.1,27,8,WNW,20,1010.1
,2018-10-13,15.8,34.6,0.4,,,NW,41,11:16,24.5,45,,NNW,17,1011.9,33.5,21,,WNW,22,1007.0
,2018-10-14,21.5,38.5,0.2,,,WNW,57,14:30,32.2,23,,NW,28,1008.5,37.5,12,,W,28,1004.5
,2018-10-15,21.9,31.5,0,,,SSW,41,06:40,23.7,31,7,S,22,1013.0,30.1,16,,SSW,11,1010.2
,2018-10-16,14.7,28.1,0,12.6,,SE,44,08:05,21.1,37,,ESE,28,1018.9,26.7,24,,SE,20,1014.6
,2018-10-17,11.0,29.8,0,10.2,,E,41,08:41,22.0,24,,E,28,1019.2,28.1,14,,SSE,15,1013.6
,2018-10-18,12.3,34.9,0,4.6,,NNW,41,14:37,25.2,17,,NE,20,1016.0,33.5,13,,WSW,11,1010.2
,2018-10-19,22.3,37.5,0,6.6,,NW,59,14:01,29.7,12,7,NNW,39,1012.9,36.3,13,7,NW,31,1008.4
,2018-10-20,18.5,28.9,0,,,SE,52,05:50,20.3,45,,SE,26,1019.4,27.9,20,,ESE,20,1014.5
,2018-10-21,10.1,32.1,0,,,E,33,08:10,21.2,22,,ESE,22,1018.2,31.0,12,,SE,9,1012.0
,2018-10-22,13.5,38.0,0,,,SW,37,18:04,30.9,11,,NNE,6,1013.1,36.6,9,4,WNW,20,1008.2
,2018-10-23,17.4,38.5,0,11.8,,ESE,43,17:04,32.7,7,,N,28,1011.4,38.0,6,,NE,24,1008.2
,2018-10-24,18.1,39.0,0,15.6,,N,37,14:26,26.0,18,6,E,20,1014.5,37.4,6,1,NNW,15,1008.6
,2018-10-25,20.0,41.8,0,12.4,,NW,59,17:24,32.2,8,,NW,9,1012.7,40.2,6,1,NNE,20,1008.5
,2018-10-26,20.4,40.7,0,12.6,,WSW,54,22:32,30.6,11,,SSE,11,1014.3,39.7,9,6,NW,9,1009.3
,2018-10-27,19.2,26.8,1.4,,,W,56,00:16,19.8,87,8,WSW,24,1016.7,25.7,46,,SSW,28,1014.3
,2018-10-28,17.9,33.2,1.4,,,SSE,44,19:25,22.3,63,8,ENE,11,1013.4,32.2,27,8,WNW,11,1009.8
,2018-10-29,18.7,28.4,0.4,,,SW,52,03:34,21.0,79,8,WSW,13,1016.3,26.4,43,8,N,22,1011.3
,2018-10-30,17.6,36.4,0.2,7.8,,SSE,33,16:50,25.1,48,8,SSW,9,1015.2,35.3,18,7,SE,9,1011.4
,2018-10-31,25.0,35.7,0.2,11.8,,NE,35,09:02,31.6,24,8,NE,22,1014.2,34.6,17,8,NW,13,1011.3
