"Daily Weather Observations for Alice Springs, Northern Territory for November 2018"
"Prepared at 13:03 UTC on Monday  8 July 2019   IDCJDW8002.201811"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations taken at Alice Springs Airport."
"The airport is about 11 kilometres from Alice Springs township. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Alice Springs Airport {station 015590}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-11-1,23.0,39.3,0,7.2,,WSW,65,17:12,30.0,36,8,ENE,11,1014.0,37.1,20,5,NW,20,1008.9
,2018-11-2,21.7,37.4,4.2,11.2,,NE,30,00:06,27.4,53,8,WNW,13,1016.3,36.3,20,,ENE,13,1011.6
,2018-11-3,21.0,40.9,0,,,NE,46,11:18,33.0,27,,SSW,7,1014.7,40.7,13,6,ENE,9,1009.8
,2018-11-4,25.2,40.6,0,,,N,54,15:15,33.2,28,,NE,15,1011.5,40.3,15,2,WNW,13,1005.1
,2018-11-5,20.1,29.3,7.4,,,SSE,57,04:13,20.4,96,7,S,13,1012.5,26.1,63,8,SSE,11,1009.2
,2018-11-6,20.3,38.9,0,4.8,,SSE,76,21:24,29.3,47,5,ENE,11,1009.5,37.4,22,8,WSW,13,1003.8
,2018-11-7,16.3,17.6,12.8,9.6,,SSE,52,09:27,16.3,99,8,SSE,35,1013.8,15.5,80,8,ESE,19,1015.1
,2018-11-8,9.7,23.7,1.6,4.4,,ESE,50,08:18,17.4,48,,E,35,1018.3,22.2,29,,ENE,22,1014.6
,2018-11-9,12.3,27.2,0,7.6,,SE,35,15:28,18.0,42,8,ENE,20,1017.4,25.9,19,,SSE,17,1013.1
,2018-11-10,11.9,29.9,0,,,SSE,50,15:47,22.6,22,,E,15,1015.9,28.3,12,,ESE,22,1012.0
,2018-11-11,11.8,31.9,0,,,ENE,35,10:53,24.0,15,,ESE,15,1014.1,30.2,10,,E,15,1009.7
,2018-11-12,15.4,37.9,0,,,SSW,46,23:46,29.5,22,,ENE,22,1010.9,37.3,12,,SSW,13,1005.8
,2018-11-13,23.8,36.6,0,12.0,,WNW,41,18:13,26.7,32,8,E,13,1011.2,34.7,18,,SW,13,1006.2
,2018-11-14,,37.1,0,11.2,,,,,29.6,44,,E,13,1011.7,32.3,33,2,ENE,30,1009.4
,2018-11-15,23.6,36.4,0,14.6,,ENE,43,11:45,28.5,37,,ESE,26,1016.3,35.2,23,,SSW,11,1012.6
,2018-11-16,23.7,28.2,0,16.0,,SSW,44,16:52,27.2,25,7,E,24,1015.5,26.9,33,7,SW,28,1014.5
,2018-11-17,20.0,29.3,0,,,E,37,11:05,26.3,20,8,ESE,19,1016.1,27.1,26,7,SE,20,1013.4
,2018-11-18,17.4,33.1,0,,,W,33,15:32,22.9,52,8,NNE,2,1013.3,32.1,22,1,W,9,1009.3
,2018-11-19,19.4,38.2,0,,,WSW,41,14:01,31.8,23,,NNW,17,1009.7,35.1,15,1,WSW,13,1005.0
,2018-11-20,22.7,39.5,0,,,W,57,15:48,30.6,38,1,S,15,1006.6,38.0,19,5,NNW,28,1000.4
,2018-11-21,16.9,21.1,32.8,14.6,,ENE,41,01:01,18.1,99,8,ESE,11,1009.6,20.3,88,8,SSE,9,1007.7
,2018-11-22,15.9,27.0,0.6,2.6,,E,37,08:32,18.7,62,8,E,26,1014.8,25.1,43,,NNW,9,1011.1
,2018-11-23,15.6,35.6,0,7.4,,NW,57,21:16,24.1,43,,NNE,19,1012.9,33.7,24,,N,20,1007.9
,2018-11-24,22.8,39.3,0,,,NW,63,12:58,29.0,56,5,NNW,33,1009.3,35.3,33,,NNW,17,1005.1
,2018-11-25,20.5,35.4,0,,,SSE,35,14:55,28.5,22,,SE,19,1011.9,34.6,17,,SSE,17,1007.5
,2018-11-26,22.3,38.1,2.4,26.4,,NW,70,15:44,26.4,44,8,N,17,1008.7,36.6,29,,NW,39,1002.2
,2018-11-27,,34.1,0,15.6,,,,,26.5,40,,S,24,1009.5,32.2,22,,SSW,19,1006.7
,2018-11-28,14.9,32.0,0,12.0,,SE,43,11:30,23.8,31,,SE,20,1013.1,30.2,18,,NNW,9,1010.1
,2018-11-29,15.6,37.2,0,,,ESE,31,16:36,27.6,26,,ENE,13,1012.7,35.7,12,,ENE,9,1008.3
,2018-11-30,23.9,38.0,0,26.6,,WNW,43,21:21,26.1,29,8,WSW,9,1013.4,35.6,17,,NW,19,1008.3
