"Daily Weather Observations for Alice Springs, Northern Territory for December 2018"
"Prepared at 16:03 UTC on Sunday  7 July 2019   IDCJDW8002.201812"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations taken at Alice Springs Airport."
"The airport is about 11 kilometres from Alice Springs township. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Alice Springs Airport {station 015590}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-12-1,21.3,34.5,0,,,SSW,61,22:55,26.6,27,8,NNE,22,1011.2,34.0,27,8,WSW,31,1007.9
,2018-12-2,21.8,36.2,0,17.0,,SSW,41,13:23,29.1,39,,SSW,20,1012.1,34.0,27,,SSW,20,1009.0
,2018-12-3,21.2,29.0,0,13.6,,WNW,35,13:12,23.4,68,8,WSW,11,1015.5,27.9,54,6,NW,22,1012.3
,2018-12-4,18.8,34.1,2.0,6.2,,E,31,10:21,27.9,39,,ENE,20,1013.8,33.7,22,5,W,9,1010.6
,2018-12-5,17.2,36.1,0,,,SW,35,14:57,30.1,19,,E,15,1012.1,35.0,15,8,SW,20,1007.0
,2018-12-6,17.3,38.4,0,19.3,,NE,44,11:44,31.7,12,,ENE,31,1009.4,37.6,8,,ESE,22,1005.5
,2018-12-7,18.4,40.1,0,14.2,,NNE,41,11:02,34.1,19,,NE,20,1008.7,37.8,14,1,ESE,17,1005.9
,2018-12-8,22.8,40.7,0,,,ESE,48,14:17,34.4,18,,NNE,19,1010.8,39.0,13,,ESE,22,1007.3
,2018-12-9,20.9,41.3,0,,,SSE,54,23:51,34.9,18,,NE,19,1010.6,40.5,11,,ESE,30,1006.6
,2018-12-10,21.3,39.5,0,,,SSE,52,00:17,30.2,27,,SE,17,1011.6,37.6,12,,E,22,1006.8
,2018-12-11,21.6,41.7,0,,,E,37,13:21,32.1,23,,ESE,20,1009.6,40.7,11,,S,17,1003.9
,2018-12-12,23.3,43.2,0,,,SSE,44,15:21,38.7,13,,NNE,20,1003.9,41.4,12,7,SSE,30,1001.2
,2018-12-13,24.7,34.6,0.4,15.8,,SSE,54,11:47,28.4,43,,SE,24,1010.0,33.3,24,,S,20,1006.0
,2018-12-14,18.7,30.4,0,,,SE,41,06:45,21.4,25,,SE,20,1010.2,28.2,15,,SSW,17,1005.3
,2018-12-15,12.4,34.7,0,,,SSE,39,17:30,23.2,16,,ESE,7,1007.9,33.1,9,,S,13,1003.2
,2018-12-16,14.9,38.5,0,,,E,30,08:08,27.8,23,,E,19,1008.1,36.7,9,,SW,11,1003.5
,2018-12-17,18.6,42.1,0,,,ENE,46,08:05,32.6,15,,NE,20,1006.7,41.4,8,,S,17,1001.9
,2018-12-18,23.3,44.1,0,,,N,37,09:53,37.1,9,,N,15,1005.4,42.0,8,,S,7,1001.8
,2018-12-19,27.7,42.4,0,18.4,,SSE,41,14:34,34.1,22,,S,20,1007.0,41.1,11,,SSW,19,1003.7
,2018-12-20,26.5,39.4,0,18.8,,ESE,43,13:41,31.7,22,,SE,26,1009.7,37.5,18,,ESE,13,1006.2
,2018-12-21,27.7,35.5,0,18.8,,SSE,50,12:19,28.4,28,7,SE,30,1011.1,34.4,21,,ESE,24,1008.1
,2018-12-22,23.1,33.9,0,,,ESE,54,09:58,25.0,23,1,E,33,1014.1,32.6,11,,SE,24,1010.4
,2018-12-23,16.9,34.7,0,,,ESE,46,13:49,26.2,14,,E,30,1014.4,33.3,7,,ESE,20,1009.4
,2018-12-24,14.9,37.9,0,,,E,41,11:08,29.0,11,,NE,19,1012.3,36.8,6,,E,19,1007.2
,2018-12-25,16.5,40.7,0,,,ENE,37,15:12,32.0,10,,E,19,1011.5,39.6,6,,SSW,17,1007.1
,2018-12-26,22.3,41.9,0,,,N,37,09:12,35.7,15,,N,24,1009.4,40.3,10,3,ENE,11,1005.0
,2018-12-27,22.9,44.0,0,,,ESE,41,16:16,36.8,14,,NNE,26,1007.6,42.0,8,,ENE,20,1002.1
,2018-12-28,28.9,43.7,0,,,ENE,46,12:12,37.5,12,,NNE,30,1005.2,42.4,8,,ENE,20,1000.5
,2018-12-29,27.3,45.6,0,,,NW,44,09:25,36.5,20,,NNW,30,1004.3,44.0,10,,ENE,19,1000.7
,2018-12-30,28.6,44.4,0,,,E,44,18:16,38.6,14,,NNE,24,1006.3,42.7,10,,E,15,1002.4
,2018-12-31,25.8,45.1,0,,,SSE,48,15:30,37.8,14,,NNE,24,1006.9,43.6,9,,SE,28,1002.6
