"Daily Weather Observations for Alice Springs, Northern Territory for March 2019"
"Prepared at 13:03 UTC on Thursday  4 July 2019   IDCJDW8002.201903"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations taken at Alice Springs Airport."
"The airport is about 11 kilometres from Alice Springs township. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Alice Springs Airport {station 015590}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-03-1,22.7,39.2,0,,,ENE,37,16:01,32.6,25,,NNE,20,1012.8,37.3,13,,ENE,24,1009.2
,2019-03-2,22.5,39.6,0,,,N,39,09:45,31.9,28,,N,22,1012.9,37.8,13,3,SSE,17,1009.1
,2019-03-3,21.7,39.1,0,,,ESE,46,18:16,31.6,23,,NNE,7,1014.2,36.8,13,1,NE,9,1010.1
,2019-03-4,20.3,37.7,0,,,ESE,48,14:46,31.8,19,,NE,9,1014.4,36.8,12,,ESE,19,1010.7
,2019-03-5,19.9,38.7,0,81.6,,S,56,12:49,30.7,19,,NE,9,1014.0,37.1,10,,SE,17,1009.4
,2019-03-6,20.6,34.9,0,15.2,,SE,48,12:39,28.4,28,,SE,26,1015.5,33.1,21,,ESE,24,1012.9
,2019-03-7,19.6,36.1,0,16.0,,ESE,33,14:24,24.4,22,,ESE,22,1017.2,34.6,13,,ESE,19,1012.1
,2019-03-8,18.0,37.6,0,,,E,56,16:19,28.3,14,,E,17,1015.7,35.8,9,,SE,17,1011.7
,2019-03-9,16.4,39.8,0,,,E,41,17:05,29.7,8,,ENE,24,1016.6,39.1,7,,ESE,19,1011.6
,2019-03-10,20.4,41.1,0,54.4,,E,41,15:02,32.8,13,,NE,9,1016.5,39.4,13,,NE,15,1010.6
,2019-03-11,22.8,42.7,0,16.0,,NNW,35,10:06,35.0,18,,N,17,1013.8,41.8,12,,W,7,1008.9
,2019-03-12,27.6,40.9,0,16.8,,SE,41,16:40,33.0,18,,SE,17,1011.9,40.5,14,,S,26,1008.1
,2019-03-13,23.0,38.8,0,14.0,,ENE,37,08:55,29.1,29,,ENE,24,1013.9,37.1,17,,SE,11,1009.6
,2019-03-14,22.4,38.3,0,15.2,,SE,41,12:49,29.8,22,,ENE,19,1014.1,37.1,13,7,ESE,20,1009.9
,2019-03-15,22.5,35.8,0,,,E,43,16:12,28.1,19,8,E,15,1013.6,34.5,13,4,E,15,1010.5
,2019-03-16,17.4,36.6,0,,,SE,39,16:26,28.4,14,,ENE,17,1012.5,35.4,12,2,S,20,1009.4
,2019-03-17,17.4,36.4,0,33.8,,SE,61,14:56,27.5,13,,ENE,13,1013.4,35.7,10,,SE,28,1010.0
,2019-03-18,15.1,37.2,0,14.8,,ESE,44,14:18,28.5,12,,ENE,13,1013.4,35.8,10,,ESE,24,1008.6
,2019-03-19,17.7,37.1,0,13.0,,SSE,41,11:23,28.6,14,,NE,2,1012.5,35.6,12,,ESE,28,1008.3
,2019-03-20,19.1,37.9,0,15.2,,ESE,44,16:17,29.4,17,,ESE,11,1013.1,36.3,12,,E,17,1008.7
,2019-03-21,18.9,38.4,0,13.0,,ESE,52,15:32,30.1,20,,E,17,1012.5,37.4,12,,ESE,24,1007.5
,2019-03-22,18.7,39.2,0,,,E,41,13:32,29.4,21,,ENE,13,1011.2,37.9,10,,ESE,26,1005.8
,2019-03-23,20.6,39.5,0,,,E,48,13:46,32.8,29,,NNE,13,1008.6,38.7,14,1,ENE,26,1004.0
,2019-03-24,27.6,35.4,0,36.8,,ENE,44,20:20,29.7,47,,NNE,26,1008.0,34.5,31,3,NNE,26,1003.8
,2019-03-25,24.0,28.4,1.4,10.2,,SSE,50,13:59,25.9,72,8,SE,22,1009.1,23.6,77,,SSE,30,1009.1
,2019-03-26,18.7,29.4,0,,,ESE,50,15:33,21.1,38,,SE,31,1016.3,28.9,22,,SE,28,1013.1
,2019-03-27,12.0,29.8,0,,,SE,35,14:36,21.0,35,,ESE,19,1017.3,28.4,23,,SSE,20,1012.9
,2019-03-28,12.3,31.2,0,35.2,,SSE,41,14:35,21.6,28,,SW,4,1014.7,30.7,14,,SE,22,1009.0
,2019-03-29,12.9,34.7,,,,SSE,57,15:23,24.1,23,,WNW,2,1011.0,34.4,11,,S,33,1007.6
,2019-03-30,17.6,26.2,,,,ESE,41,12:30,18.8,43,,ESE,26,1018.7,24.2,24,,SE,20,1014.7
,2019-03-31,8.1,25.9,,,,SSE,46,14:29,17.7,30,,ESE,15,1020.5,24.5,17,,ESE,20,1016.0
