"Daily Weather Observations for Alice Springs, Northern Territory for May 2019"
"Prepared at 16:03 UTC on Tuesday 16 July 2019   IDCJDW8002.201905"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations taken at Alice Springs Airport."
"The airport is about 11 kilometres from Alice Springs township. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Alice Springs Airport {station 015590}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-05-1,13.3,31.0,0.4,4.2,,WNW,43,15:36,20.3,72,,N,7,1012.8,30.8,28,2,W,24,1009.3
,2019-05-2,16.7,24.4,2.4,5.8,,E,30,13:19,17.8,69,8,ESE,15,1019.0,23.9,57,,ESE,13,1015.7
,2019-05-3,13.6,24.3,2.8,3.8,,E,33,10:42,16.6,52,,E,17,1022.7,24.1,33,,ENE,19,1019.5
,2019-05-4,8.4,23.5,0,,,ESE,39,12:52,16.1,47,,ESE,11,1024.9,22.2,22,,E,19,1020.6
,2019-05-5,5.1,23.3,0,,,ESE,33,10:35,13.6,53,,SSW,2,1024.8,22.5,23,,ENE,13,1019.9
,2019-05-6,5.0,24.4,0,,,ENE,30,09:57,13.5,49,,ESE,9,1022.1,23.9,17,,E,13,1017.6
,2019-05-7,5.1,28.5,0,25.6,,S,37,15:55,15.5,35,,WSW,4,1019.5,27.8,11,,SSE,26,1016.3
,2019-05-8,8.0,22.3,0,6.6,,ESE,41,10:50,16.0,44,,ESE,17,1022.5,21.3,29,,ESE,17,1018.7
,2019-05-9,5.1,22.8,0,7.0,,SSE,43,23:56,14.5,35,,W,9,1022.0,21.3,29,,SSE,19,1019.2
,2019-05-10,7.3,17.1,0,,,SE,44,14:14,11.1,55,,SSE,26,1029.0,15.8,32,,SE,26,1027.0
,2019-05-11,2.5,17.5,0,,,ESE,56,10:00,10.8,49,,ESE,24,1029.8,16.6,29,,ESE,28,1025.9
,2019-05-12,1.0,19.0,0,,,E,39,10:10,9.8,48,,E,17,1026.5,18.7,22,7,E,26,1022.0
,2019-05-13,2.8,22.5,0,27.0,,ESE,30,16:58,11.5,39,, ,Calm,1023.5,22.1,17,,SE,19,1019.5
,2019-05-14,2.7,21.8,0,4.6,,ESE,43,12:06,11.8,39,, ,Calm,1025.4,21.2,22,,SE,17,1021.6
,2019-05-15,5.4,,0,4.8,,,,,13.7,44,,SW,4,1025.3,24.4,36,,E,20,1020.9
,2019-05-16,7.5,26.4,0,4.0,,ENE,41,11:35,15.2,60,, ,Calm,1022.5,25.2,37,,E,13,1017.6
,2019-05-17,9.9,31.3,0,7.6,,E,31,20:56,19.1,58,,E,11,1019.4,30.4,26,3,N,9,1014.9
,2019-05-18,18.4,20.8,7.0,5.4,,WNW,41,01:24,20.5,89,8,W,4,1019.9,17.7,99,7,SE,13,1019.3
,2019-05-19,14.1,27.0,19.4,0.0,,E,17,08:46,17.4,97,5,ESE,11,1022.1,25.8,62,,SSW,9,1018.5
,2019-05-20,14.7,28.5,0.2,2.8,,NE,31,12:01,21.2,79,,ENE,9,1022.1,28.3,30,,NE,19,1019.4
,2019-05-21,12.9,28.2,0,,,E,33,14:08,18.4,68,, ,Calm,1023.1,27.9,21,,E,20,1020.0
,2019-05-22,10.9,27.0,0,11.2,,E,43,15:00,17.1,64,,WSW,6,1025.6,26.6,21,,ESE,28,1021.9
,2019-05-23,10.1,25.9,0,6.0,,ENE,35,12:31,17.1,58,,WNW,7,1025.2,25.1,27,,E,19,1021.1
,2019-05-24,11.1,26.0,0,,,E,28,13:46,17.9,54,,WNW,4,1022.6,25.9,25,,ESE,15,1018.5
,2019-05-25,10.3,27.0,0,,,ESE,24,15:25,17.7,55,,WNW,2,1020.8,26.2,21,,SE,11,1017.3
,2019-05-26,11.2,23.6,0,,,ESE,31,10:03,16.8,54,,ESE,17,1022.8,23.3,31,,SSE,20,1018.9
,2019-05-27,7.8,20.9,0,,,ESE,31,10:31,14.3,60,,E,9,1025.0,19.7,35,,ESE,13,1021.3
,2019-05-28,4.3,20.3,0,4.0,,ESE,26,10:55,11.9,60,, ,Calm,1024.6,19.7,27,,SE,19,1019.9
,2019-05-29,4.1,20.9,0,4.0,,SSE,31,11:28,11.3,58,, ,Calm,1021.8,20.1,28,,S,15,1018.4
,2019-05-30,5.7,18.0,0,4.8,,ESE,54,13:09,12.2,66,2,SE,13,1026.1,16.9,35,,SE,26,1023.4
,2019-05-31,2.2,14.9,,,,E,48,10:11,8.5,50,,ESE,20,1028.9,14.1,28,,SE,26,1025.0
