"Daily Weather Observations for Alice Springs, Northern Territory for June 2019"
"Prepared at 13:03 UTC on Sunday 14 July 2019   IDCJDW8002.201906"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations taken at Alice Springs Airport."
"The airport is about 11 kilometres from Alice Springs township. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Alice Springs Airport {station 015590}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-06-1,-0.3,15.9,0,,,ESE,44,12:08,8.4,50,,ESE,17,1028.7,15.2,37,,ESE,28,1026.3
,2019-06-2,2.7,17.0,0,,,ESE,46,13:46,8.9,81,8,SE,13,1030.0,16.3,41,,SE,24,1026.5
,2019-06-3,1.5,17.6,0,,,ESE,44,14:37,8.8,70,,SE,9,1030.3,16.8,36,,SE,30,1026.3
,2019-06-4,2.5,15.8,0,,,ESE,43,10:27,8.6,69,7,SE,15,1029.6,14.4,38,,ESE,24,1026.2
,2019-06-5,0.8,14.6,0,,,E,48,14:45,7.0,62,,ESE,19,1029.9,13.7,33,,ESE,26,1027.2
,2019-06-6,0.6,16.1,0,,,E,54,10:52,6.8,63,,E,13,1031.3,15.4,27,,E,31,1028.5
,2019-06-7,0.3,17.2,0,,,E,35,15:13,6.1,52,,E,7,1028.9,16.3,22,,E,22,1024.0
,2019-06-8,-0.7,21.3,0,,,E,24,14:45,7.6,53,,WNW,9,1025.7,20.4,24,,ESE,13,1019.8
,2019-06-9,3.3,26.9,0,,,NW,46,12:15,14.7,54,,S,9,1018.6,26.3,31,,NW,24,1014.6
,2019-06-10,10.9,26.3,0,,,S,28,08:00,17.8,58,,S,9,1018.9,25.9,29,,SE,13,1015.9
,2019-06-11,10.6,31.0,0,,,N,44,12:01,23.3,47,,NNE,22,1019.7,30.2,29,,NNW,19,1015.7
,2019-06-12,21.8,27.1,0,,,N,39,08:08,23.1,52,8,NNW,26,1018.7,24.1,40,7,S,20,1017.5
,2019-06-13,11.7,22.7,0,,,ESE,35,09:23,15.8,57,1,ESE,20,1023.0,21.9,35,1,E,19,1018.8
,2019-06-14,8.3,22.1,0,,,E,39,12:16,13.3,50,5,E,4,1022.8,21.6,31,7,E,17,1018.7
,2019-06-15,11.0,23.6,0,,,ENE,33,11:20,14.7,40,,E,22,1021.4,22.4,28,6,SE,13,1016.7
,2019-06-16,6.6,21.1,0.4,,,E,31,12:12,10.8,89,,SSW,6,1024.1,20.9,32,,SE,19,1020.8
,2019-06-17,3.9,20.9,0.2,,,ENE,31,11:24,10.9,61,,E,9,1024.9,20.2,28,,E,15,1021.0
,2019-06-18,2.8,18.7,0,,,SE,37,15:00,10.7,52,, ,Calm,1026.5,17.5,31,,SE,20,1022.4
,2019-06-19,3.1,16.9,0,,,E,33,10:26,9.6,58,, ,Calm,1025.5,15.7,33,,E,19,1022.0
,2019-06-20,-0.1,16.1,0,,,E,30,11:01,7.9,57,,E,6,1026.9,15.7,31,,E,17,1023.0
,2019-06-21,-1.2,15.8,0,,,ENE,39,10:13,7.8,51,,ENE,9,1027.2,15.5,22,,ENE,17,1023.7
,2019-06-22,-3.2,16.4,0,,,E,37,10:16,7.0,45,,E,17,1026.0,15.1,20,,E,17,1022.5
,2019-06-23,-1.7,16.7,0,,,ENE,31,10:40,6.0,43,,E,6,1025.7,15.8,22,,E,17,1022.8
,2019-06-24,-1.0,17.6,0,,,E,33,09:05,8.4,40,,ENE,22,1025.6,16.6,19,,E,15,1023.4
,2019-06-25,1.4,20.3,0,,,ESE,31,14:48,7.7,37,, ,Calm,1026.9,19.7,13,,SE,20,1024.5
,2019-06-26,0.4,19.8,0,,,E,35,11:06,8.1,35,, ,Calm,1027.1,19.0,20,,ESE,19,1022.6
,2019-06-27,1.4,21.7,0,,,E,20,11:43,9.0,40,, ,Calm,1024.8,21.1,23,,WSW,7,1019.6
,2019-06-28,3.1,24.3,0,,,W,28,15:02,10.8,47,, ,Calm,1021.7,23.7,18,,W,13,1017.4
,2019-06-29,6.7,20.2,0,,,SSE,33,16:31,13.0,55,,SSW,11,1024.9,18.9,35,,SE,19,1022.2
,2019-06-30,0.5,19.1,0,,,E,37,10:04,8.4,47,,SE,4,1026.7,18.3,20,,E,15,1021.9
