"Daily Weather Observations for Alice Springs, Northern Territory for January 2019"
"Prepared at 13:03 UTC on Saturday  6 July 2019   IDCJDW8002.201901"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations taken at Alice Springs Airport."
"The airport is about 11 kilometres from Alice Springs township. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Alice Springs Airport {station 015590}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-01-1,26.6,43.5,0,,,S,41,14:12,35.3,17,,SE,11,1007.1,42.5,10,,WSW,17,1002.7
,2019-01-2,24.0,43.3,0,,,NW,35,12:00,35.7,11,,NE,4,1006.4,42.2,9,,SW,13,1001.7
,2019-01-3,27.9,45.6,0,18.4,,SSW,52,15:55,37.3,10,,NE,7,1005.9,43.6,6,,SSW,19,1002.1
,2019-01-4,26.4,45.1,0,19.0,,ESE,43,14:32,35.7,22,,NW,28,1005.2,43.8,7,1,ESE,24,1002.2
,2019-01-5,28.6,38.4,0,,,S,59,11:56,31.4,26,,S,26,1010.5,36.2,19,,SSE,22,1008.0
,2019-01-6,21.4,36.0,0,,,SE,41,12:01,26.8,19,,SE,20,1012.9,34.0,14,,SE,11,1009.2
,2019-01-7,20.3,37.3,0,,,SSE,35,15:37,28.9,14,,E,17,1011.4,35.9,10,,SSW,13,1007.2
,2019-01-8,17.8,37.9,0,,,ESE,37,10:36,30.2,11,,ESE,20,1011.0,37.2,8,,S,17,1007.4
,2019-01-9,18.3,37.8,0,32.0,,ESE,61,13:34,30.1,13,,ESE,31,1010.8,36.6,9,,ESE,26,1007.2
,2019-01-10,18.5,39.4,0,15.6,,SE,52,14:49,31.6,14,,E,22,1010.5,37.9,7,,SSE,24,1006.0
,2019-01-11,22.0,42.7,0,,,ENE,44,09:17,34.9,21,,ENE,28,1008.9,40.8,13,2,SSE,13,1005.1
,2019-01-12,25.2,44.4,0,,,ESE,83,14:39,36.9,22,,ENE,19,1010.7,40.2,14,6,SE,15,1008.1
,2019-01-13,23.8,43.3,3.2,,,ESE,67,15:03,35.7,19,,ESE,26,1010.6,41.0,11,8,ESE,33,1006.2
,2019-01-14,25.1,43.6,0.6,18.8,,ENE,57,15:41,37.0,13,,NNE,11,1007.8,42.2,9,1,E,22,1003.9
,2019-01-15,25.2,44.1,0,,,ENE,46,15:16,37.7,15,,NNE,4,1007.9,42.7,9,3,E,20,1003.6
,2019-01-16,27.9,44.1,0,35.6,,ENE,48,15:45,37.5,15,,NNE,24,1007.6,41.8,9,6,SW,9,1002.4
,2019-01-17,30.4,42.4,0,19.6,,NNW,89,14:34,35.7,25,,NNW,20,1006.3,35.5,30,8,W,13,1002.7
,2019-01-18,26.2,42.7,7.8,,,S,57,21:06,34.9,29,,W,15,1005.9,40.1,13,6,WNW,15,1003.4
,2019-01-19,27.5,42.8,0,,,E,65,13:48,32.8,28,,ESE,20,1010.6,41.3,14,2,E,22,1006.8
,2019-01-20,25.8,43.4,0,,,ESE,59,15:02,35.5,22,,ESE,24,1010.6,42.1,9,,ESE,28,1006.0
,2019-01-21,25.6,43.1,0,,,E,61,13:07,36.9,13,,ENE,20,1008.7,42.1,8,,ENE,33,1005.2
,2019-01-22,26.9,43.4,0,22.2,,E,59,14:47,37.2,15,,NNE,20,1008.0,43.0,9,2,ENE,19,1004.6
,2019-01-23,26.5,43.5,0,18.6,,ENE,50,11:38,36.4,19,,NNW,20,1007.8,42.1,11,1,NNE,19,1003.6
,2019-01-24,27.9,44.6,0,19.8,,ENE,56,13:48,37.8,15,,NNE,31,1006.0,42.7,9,3,ENE,24,1001.7
,2019-01-25,30.1,42.9,0,22.0,,SE,59,12:43,36.8,26,,WNW,20,1005.6,40.5,16,4,NNE,13,1001.7
,2019-01-26,27.2,42.5,4.0,,,ENE,56,16:50,32.9,40,1,NW,9,1006.9,41.0,15,8,ESE,28,1002.2
,2019-01-27,27.5,34.8,0,,,ESE,54,12:29,28.8,32,4,SSE,28,1009.2,33.3,28,1,SE,30,1006.7
,2019-01-28,20.6,35.0,0,,,ESE,48,17:29,23.4,56,7,SE,20,1009.6,33.1,26,,ESE,22,1006.0
,2019-01-29,23.3,38.7,0,,,E,39,08:53,30.8,30,,E,30,1008.1,37.4,19,2,SE,20,1003.1
,2019-01-30,25.9,41.2,0,,,S,41,14:09,33.8,25,,ESE,11,1005.2,40.1,17,8,S,24,1001.0
,2019-01-31,24.5,40.3,0,,,SE,56,15:39,32.9,35,,SE,13,1006.0,38.4,17,1,SSE,30,1002.7
