"Daily Weather Observations for Alice Springs, Northern Territory for February 2019"
"Prepared at 13:03 UTC on Friday  5 July 2019   IDCJDW8002.201902"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations taken at Alice Springs Airport."
"The airport is about 11 kilometres from Alice Springs township. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Alice Springs Airport {station 015590}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-02-1,27.6,37.8,0,22.6,,E,57,18:55,30.3,50,1,ESE,30,1007.0,35.9,27,1,SE,30,1003.1
,2019-02-2,23.5,34.9,0,,,E,57,17:53,27.5,49,,ESE,20,1007.0,31.7,37,8,ESE,24,1003.3
,2019-02-3,23.9,36.6,0,,,E,63,14:46,26.3,66,8,ESE,24,1005.9,35.1,27,3,ESE,28,1003.1
,2019-02-4,22.1,38.7,0,42.2,,E,54,12:31,31.3,38,0,E,19,1006.4,37.7,19,4,ESE,31,1003.1
,2019-02-5,25.5,40.0,0,18.8,,ESE,57,11:57,31.0,25,0,SE,24,1006.1,38.0,15,4,ESE,31,1001.5
,2019-02-6,26.2,40.2,0,20.0,,ESE,50,13:07,30.7,23,,ESE,17,1006.5,39.0,13,0,SE,20,1002.8
,2019-02-7,24.0,40.5,0,18.8,,ESE,59,11:02,33.0,24,0,ESE,28,1008.0,40.0,13,1,SSE,19,1004.7
,2019-02-8,27.2,37.0,0,22.6,,E,46,11:41,31.5,16,1,SE,24,1008.7,35.3,17,0,SE,26,1006.2
,2019-02-9,21.0,32.5,0,,,ESE,43,10:31,25.2,25,,SSE,30,1010.3,31.4,13,,S,26,1007.1
,2019-02-10,14.7,34.6,0,,,ESE,35,08:43,25.5,29,,ESE,22,1011.7,33.1,13,,SSE,24,1007.6
,2019-02-11,17.1,38.9,0,43.0,,WSW,48,12:38,29.4,19,0,N,4,1010.4,37.3,8,0,WSW,11,1005.2
,2019-02-12,18.9,43.0,0,22.0,,S,52,15:31,34.0,12,0,N,20,1006.5,40.6,8,3,S,24,1003.3
,2019-02-13,25.0,32.1,0,21.8,,ESE,48,10:06,26.5,24,1,SE,31,1012.3,31.0,22,,E,22,1010.0
,2019-02-14,17.2,32.2,0,17.6,,SSE,44,12:42,22.8,22,0,E,22,1015.4,30.4,13,,E,19,1011.6
,2019-02-15,13.6,33.6,0,14.0,,SE,41,11:56,25.6,15,0,ESE,20,1016.7,32.4,9,,SE,20,1012.6
,2019-02-16,14.1,35.5,0,,,ESE,33,12:21,26.7,11,,ENE,2,1014.7,34.2,6,,SSE,20,1010.2
,2019-02-17,15.7,39.1,0,,,W,35,12:21,29.9,9,, ,Calm,1011.3,37.2,5,,SSW,13,1006.3
,2019-02-18,18.1,42.0,0,39.2,,SE,33,16:52,31.3,10,,NNW,7,1008.6,40.8,6,,SW,9,1005.0
,2019-02-19,21.2,40.9,0,16.0,,SE,37,19:19,31.3,20,,SE,15,1010.9,39.0,11,,NE,9,1006.8
,2019-02-20,22.9,38.1,0,16.0,,E,37,09:53,29.2,20,,ESE,22,1013.1,36.1,12,,ENE,15,1009.2
,2019-02-21,20.0,36.3,0,18.2,,E,43,08:26,27.8,14,7,ENE,28,1014.0,35.1,11,7,SE,20,1010.4
,2019-02-22,17.9,35.7,0,10.4,,SE,56,13:38,27.9,15,,E,28,1014.0,34.7,9,,SE,19,1010.2
,2019-02-23,15.6,37.7,0,,,ESE,44,11:22,28.1,13,,ESE,13,1012.6,36.7,11,,E,22,1008.7
,2019-02-24,20.1,38.4,0,,,NE,56,23:51,30.6,15,1,E,17,1012.5,36.9,13,1,NE,19,1008.4
,2019-02-25,21.8,39.1,0,46.0,,ENE,43,11:20,30.3,29,,NNE,13,1015.0,36.3,13,6,SSE,20,1010.5
,2019-02-26,21.1,38.2,0,16.8,,ESE,43,16:40,30.4,33,,NNE,15,1014.9,37.0,12,,ESE,17,1010.6
,2019-02-27,20.3,38.3,0,16.0,,SE,50,11:53,31.0,22,,NW,6,1014.0,37.1,14,2,ESE,26,1009.1
,2019-02-28,19.7,39.0,0,14.8,,ENE,41,13:59,31.2,24,,NNE,13,1013.6,37.4,11,,SE,20,1009.1
