"Daily Weather Observations for Alice Springs, Northern Territory for April 2019"
"Prepared at 13:03 UTC on Wednesday  3 July 2019   IDCJDW8002.201904"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations taken at Alice Springs Airport."
"The airport is about 11 kilometres from Alice Springs township. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Alice Springs Airport {station 015590}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-04-1,8.9,27.8,0,34.4,,SE,54,14:16,18.8,30,,E,19,1020.3,27.4,14,,E,22,1016.4
,2019-04-2,8.9,30.0,0,10.2,,E,43,09:14,20.0,29,,ENE,17,1020.2,28.4,13,,E,19,1015.4
,2019-04-3,9.3,30.4,0,9.8,,ESE,48,16:08,20.2,24,,NE,6,1020.6,29.9,10,,E,24,1016.4
,2019-04-4,10.9,32.5,0,,,E,43,10:40,21.7,26,,E,6,1020.5,31.6,16,,ENE,22,1015.3
,2019-04-5,13.4,33.4,0,20.6,,SSE,31,17:12,25.9,33,,NE,17,1019.1,32.2,18,,SE,17,1014.5
,2019-04-6,14.7,33.6,0,,,E,46,10:40,24.2,34,,NE,7,1019.5,32.7,24,,SE,20,1015.2
,2019-04-7,15.2,33.9,0,,,ESE,39,10:35,25.8,34,, ,Calm,1019.3,32.7,19,,E,24,1014.1
,2019-04-8,15.8,34.2,0,28.8,,ESE,35,12:06,27.0,31,, ,Calm,1017.8,33.4,15,,SE,13,1013.6
,2019-04-9,16.2,35.0,0,10.6,,E,50,11:33,27.6,32,,NE,15,1018.4,33.7,16,1,ESE,22,1014.8
,2019-04-10,20.2,32.8,0,15.2,,SE,44,15:17,23.6,29,,E,17,1020.7,31.5,16,,ESE,20,1016.4
,2019-04-11,13.6,30.5,0,10.6,,E,37,16:15,21.8,29,,E,24,1020.3,29.0,18,,ESE,15,1016.0
,2019-04-12,9.0,28.8,0,10.0,,SE,48,16:40,19.3,20,,ENE,19,1019.5,27.3,8,,SE,11,1015.3
,2019-04-13,7.8,32.3,0,,,ENE,35,10:33,22.1,14,,ENE,11,1019.3,31.4,9,,ENE,15,1014.2
,2019-04-14,13.6,32.9,0,,,NE,33,09:57,25.5,32,8,NE,15,1018.4,32.4,15,,E,22,1013.0
,2019-04-15,13.3,33.3,0,26.2,,ENE,30,10:45,25.8,27,,NNE,15,1017.1,32.6,11,,SW,7,1012.5
,2019-04-16,14.7,34.0,0,8.8,,ENE,33,13:26,26.2,27,,NNE,13,1017.6,32.9,14,,ENE,22,1013.2
,2019-04-17,13.7,33.9,0,10.0,,ESE,33,17:20,26.1,27,,NNE,15,1017.7,32.7,14,,E,9,1014.5
,2019-04-18,14.0,32.8,0,8.8,,E,56,11:50,24.2,28,,E,7,1020.3,32.1,14,,ENE,26,1016.1
,2019-04-19,10.7,32.0,0,,,NE,41,11:35,24.8,26,,ENE,17,1019.4,31.5,16,,E,19,1014.3
,2019-04-20,13.6,31.8,0,,,NNE,31,09:40,25.8,30,3,N,19,1017.0,30.8,15,,SSE,9,1012.6
,2019-04-21,17.2,26.5,0,,,SSE,31,19:18,18.5,63,8,SSE,15,1018.6,25.6,35,,SE,13,1015.6
,2019-04-22,12.7,24.5,0,,,SSE,35,14:41,16.7,46,,ESE,24,1021.9,23.7,31,,ESE,17,1018.1
,2019-04-23,8.9,27.0,0,,,ESE,37,15:30,16.5,42,,SE,13,1022.0,26.0,29,,ESE,13,1017.5
,2019-04-24,11.4,27.3,0,,,ESE,44,12:51,19.9,56,,ESE,22,1022.3,26.2,25,,SSE,24,1018.5
,2019-04-25,9.9,26.0,0,,,SSE,39,14:18,18.7,40,,SE,17,1020.7,24.7,26,,SE,22,1016.4
,2019-04-26,17.9,26.7,0,,,ESE,52,10:54,21.0,43,1,ESE,30,1019.8,25.2,31,4,SE,30,1017.0
,2019-04-27,16.1,25.0,0,,,ESE,41,15:51,17.4,45,8,SE,17,1022.8,24.3,30,8,ESE,30,1020.1
,2019-04-28,14.0,26.0,0,,,ESE,43,00:32,17.0,39,7,ESE,22,1024.0,24.7,26,6,E,22,1020.2
,2019-04-29,11.6,23.9,0,,,ENE,28,10:01,16.8,29,8,E,11,1021.5,23.1,20,8,ENE,13,1016.6
,2019-04-30,11.8,28.4,0,7.4,,SSW,46,15:59,23.1,41,5,NNW,20,1013.8,26.1,39,8,W,22,1010.2
